[chain] seed fleet done, merging
377 new unique APIs (193 deduped away)
  agriculture: 12
  ai-ml: 24
  crypto: 19
  data-analytics: 2
  dev-tools: 24
  ecommerce-payments: 17
  education-reference: 10
  energy-utilities: 16
  entertainment: 5
  events-holidays: 17
  finance: 11
  food-drink: 2
  games-comics: 17
  geo-maps: 16
  government-open-data: 18
  health-fitness: 5
  iot-devices: 24
  jobs-careers: 23
  legal-compliance: 16
  news-media: 5
  real-estate-housing: 21
  science-space: 6
  security-identity: 21
  social-communication: 7
  transportation: 10
  travel-hospitality: 13
  utilities: 14
  weather-environment: 2
wrote 377 researcher jobs to /Users/memfactor/Desktop/misc_repos/grokproj/pipeline/jobs-research-r2.jsonl
[chain] launching research fleet
[14:59:57] research-okx: OK in 159s (568413 tok, $0.355) [done 113, failed 0]
[15:00:05] research-tcgplayer: OK in 60s (231167 tok, $0.197) [done 114, failed 0]
[15:00:10] research-faostat: OK in 180s (665903 tok, $0.506) [done 115, failed 0]
[15:00:11] research-bitpay: OK in 143s (529024 tok, $0.479) [done 116, failed 0]
[15:00:22] research-bigdatacloud: OK in 76s (307881 tok, $0.227) [done 117, failed 0]
[15:00:35] research-myfitnesspal: OK in 55s (300308 tok, $0.189) [done 118, failed 0]
[15:00:51] research-seatgeek: OK in 160s (752758 tok, $0.443) [done 119, failed 0]
[15:01:01] research-epss-first: OK in 10s (30345 tok, $0.013) [done 120, failed 0]
[15:01:09] research-insee-fr: OK in 106s (668478 tok, $0.400) [done 121, failed 0]
[15:01:18] research-newswhip: OK in 66s (190876 tok, $0.182) [done 122, failed 0]
[15:01:25] research-realty-mole: OK in 63s (199437 tok, $0.193) [done 123, failed 0]
[15:01:29] research-the-muse: OK in 84s (444746 tok, $0.231) [done 124, failed 0]
[15:02:14] research-amazon-ses: OK in 73s (300959 tok, $0.239) [done 125, failed 0]
[15:02:18] research-jpl-horizons: OK in 103s (354545 tok, $0.253) [done 126, failed 0]
[15:02:18] research-bart-api: OK in 69s (208066 tok, $0.160) [done 127, failed 0]
[15:02:33] research-duffel: OK in 75s (293078 tok, $0.191) [done 128, failed 0]
[15:02:42] research-uspto-patentsview: OK in 153s (813181 tok, $0.453) [done 129, failed 0]
[15:02:49] research-docraptor: OK in 84s (209336 tok, $0.143) [done 130, failed 0]
[15:03:05] research-usda-ers: OK in 96s (442546 tok, $0.266) [done 131, failed 0]
[15:03:22] research-hivemq-cloud: OK in 205s (1205456 tok, $0.652) [done 132, failed 0]
[15:03:33] research-bybit: OK in 75s (236639 tok, $0.238) [done 133, failed 0]
[15:03:40] research-google-cloud-translation: OK in 86s (268961 tok, $0.300) [done 134, failed 0]
[15:03:50] research-cypress-cloud: OK in 91s (287146 tok, $0.253) [done 135, failed 0]
[15:04:14] research-nowpayments: OK in 100s (460171 tok, $0.312) [done 136, failed 0]
[15:04:39] research-solcast: parse failure (attempt 1): Expecting ',' delimiter: line 2 column 4096 (char 4143)
[15:04:51] research-geojs: OK in 71s (197626 tok, $0.129) [done 137, failed 0]
[15:05:03] research-eventbrite: OK in 119s (516178 tok, $0.370) [done 138, failed 0]
[15:05:22] research-cboe-livevol: OK in 120s (457332 tok, $0.339) [done 139, failed 0]
[15:06:01] research-mobygames: OK in 148s (447582 tok, $0.318) [done 140, failed 0]
[15:06:12] research-solcast: OK in 92s (502554 tok, $0.299) [done 141, failed 0]
[15:06:21] research-bnb-api: OK in 219s (682049 tok, $0.455) [done 142, failed 0]
[15:06:32] research-mailjet: OK in 11s (30346 tok, $0.059) [done 143, failed 0]
[15:07:11] research-cisa-kev: OK in 59s (162712 tok, $0.194) [done 144, failed 0]
[15:07:13] research-epo-ops: OK in 130s (892875 tok, $0.743) [done 145, failed 0]
[15:07:15] research-remotive: OK in 145s (410840 tok, $0.328) [done 146, failed 0]
[15:07:21] research-estated: OK in 119s (717740 tok, $0.421) [done 147, failed 0]
[15:07:33] research-emqx-cloud: OK in 200s (1373074 tok, $1.368) [done 148, failed 0]
[15:07:39] research-destatis-genesis: OK in 229s (901172 tok, $0.507) [done 149, failed 0]
[15:08:07] research-cta-api: OK in 95s (502518 tok, $0.386) [done 150, failed 0]
[15:08:19] research-minor-planet-center: OK in 138s (384119 tok, $0.244) [done 151, failed 0]
[15:08:36] research-kucoin: OK in 63s (420603 tok, $0.290) [done 152, failed 0]
[15:08:37] research-skyscanner: OK in 86s (311877 tok, $0.252) [done 153, failed 0]
[15:08:47] research-gotenberg: OK in 93s (331309 tok, $0.235) [done 154, failed 0]
[15:08:49] research-core-ac-uk: OK in 30s (30420 tok, $0.044) [done 155, failed 0]
[15:09:12] research-soilgrids: OK in 116s (231324 tok, $0.138) [done 156, failed 0]
[15:09:18] research-google-cloud-natural-language: OK in 116s (322227 tok, $0.546) [done 157, failed 0]
[15:09:24] research-gitea: OK in 106s (396604 tok, $0.308) [done 158, failed 0]
[15:09:39] research-meetup: OK in 62s (227324 tok, $0.162) [done 159, failed 0]
[15:09:49] research-us-treasury-fiscal-data: OK in 63s (299691 tok, $0.296) [done 160, failed 0]
[15:10:34] research-db-ip: OK in 82s (218924 tok, $0.151) [done 161, failed 0]
[15:10:53] research-openei-urdb: OK in 137s (278670 tok, $0.285) [done 162, failed 0]
[15:10:59] research-xero: OK in 172s (868741 tok, $0.519) [done 163, failed 0]
[15:11:03] research-aws-iot-core: OK in 99s (445347 tok, $0.370) [done 164, failed 0]
[15:11:32] research-arbeitnow: OK in 113s (342671 tok, $0.306) [done 165, failed 0]
[15:11:39] research-housecanary: OK in 65s (255750 tok, $0.210) [done 166, failed 0]
[15:11:41] research-data-gov-au: OK in 143s (656127 tok, $0.435) [done 167, failed 0]
[15:12:35] research-microlink: OK in 56s (214757 tok, $0.146) [done 168, failed 0]
[15:12:38] research-uspto-trademark: OK in 168s (858730 tok, $0.502) [done 169, failed 0]
[15:12:46] research-board-game-atlas: OK in 237s (699661 tok, $0.398) [done 170, failed 0]
[15:13:00] research-pulsedive: OK in 128s (783190 tok, $0.415) [done 171, failed 0]
[15:13:03] research-posthog: OK in 124s (306625 tok, $0.231) [done 172, failed 0]
[15:13:23] research-airlabs: OK in 111s (525074 tok, $0.339) [done 173, failed 0]
[15:13:26] research-wmata: OK in 143s (822912 tok, $0.527) [done 174, failed 0]
[15:29:52] research-gemini: OK in 1034s (401837 tok, $0.292) [done 175, failed 0]
[15:30:48] research-uk-carbon-intensity: OK in 1044s (293642 tok, $0.241) [done 176, failed 0]
[15:30:48] research-agromonitoring: OK in 1147s (734360 tok, $0.623) [done 177, failed 0]
[15:47:52] research-forvo: OK in 2089s (612298 tok, $0.422) [done 178, failed 0]
[15:47:53] research-ecb-data-portal: OK in 1081s (232059 tok, $0.188) [done 179, failed 0]
[15:48:28] research-predicthq: OK in 2101s (384963 tok, $0.303) [done 180, failed 0]
[15:48:29] research-quickbooks: OK in 2129s (696645 tok, $0.487) [done 181, failed 0]
[15:48:38] research-ibm-watsonx: OK in 2163s (453207 tok, $0.427) [done 182, failed 0]
[15:48:55] research-iplocate: OK in 1087s (295047 tok, $0.280) [done 183, failed 0]
[15:50:19] research-azure-iot-hub: OK in 146s (341207 tok, $0.284) [done 184, failed 0]
[15:50:30] research-steamgriddb: OK in 1182s (544784 tok, $0.384) [done 185, failed 0]
[15:50:37] research-urlhaus: OK in 101s (30451 tok, $0.013) [done 186, failed 0]
[16:11:12] research-septa-api: OK in 1252s (397894 tok, $0.227) [done 187, failed 0]
[16:11:26] research-ocr-space: OK in 1249s (237627 tok, $0.199) [done 188, failed 0]
[16:33:11] research-rest-countries: OK in 2561s (327191 tok, $0.327) [done 189, failed 0]
[16:33:45] research-gleif: OK in 2715s (614302 tok, $0.373) [done 190, failed 0]
[16:34:00] research-corelogic: OK in 2722s (1046344 tok, $0.538) [done 191, failed 0]
[16:34:04] research-nasa-power: OK in 1372s (262549 tok, $0.310) [done 192, failed 0]
[16:34:20] research-bitstamp: OK in 68s (192789 tok, $0.206) [done 193, failed 0]
[16:34:33] research-honeycomb: OK in 48s (250672 tok, $0.227) [done 194, failed 0]
[16:36:28] research-gitee: OK in 5023s (2006164 tok, $0.953) [done 195, failed 0]
[16:36:35] research-microsoft-graph-calendar: OK in 122s (277433 tok, $0.540) [done 196, failed 0]
[16:36:53] research-freshbooks: OK in 173s (256109 tok, $0.224) [done 197, failed 0]
[16:37:36] research-tatoeba: OK in 212s (346227 tok, $0.276) [done 198, failed 0]
[16:37:42] research-findwork: OK in 2954s (1277743 tok, $0.633) [done 199, failed 0]
[16:37:50] research-freeipapi: OK in 57s (191857 tok, $0.165) [done 200, failed 0]
[16:37:55] research-octopus-energy: OK in 215s (356671 tok, $0.257) [done 201, failed 0]
[16:38:17] research-metalpriceapi: OK in 109s (503677 tok, $0.257) [done 202, failed 0]
[17:17:45] research-greenhouse: OK in 2395s (248864 tok, $0.312) [done 203, failed 0]
[18:11:02] research-data-gov-sg: OK in 8591s (383644 tok, $0.270) [done 204, failed 0]
[18:11:05] research-malwarebazaar: OK in 3200s (382494 tok, $0.357) [done 205, failed 0]
